"Timestamp","What is your gender?","What is your race?","How old are you?","Which state do you currently reside in?","  What is your job background?","Are you aware of Malaysia's insurance regulations and laws?","Are you familiar with the different medical insurance products available in the market?","What type of medical insurance policy do you currently have?","What is your preferred social media platform for receiving medical insurance-related information?","What channels do you prefer when purchasing medical insurance policies?","What factors do you consider when comparing medical insurance policies? (Select 3 most relevant factors)","Which factors do you consider most important while buying a medical insurance policy?  (Select 2 most relevant factors)","Do you feel that insurance premiums are generally affordable?","Do you feel adequately protected by your insurance policy?","What are your thoughts on the importance of purchasing medical insurance (such as a medical card or life insurance)? Do you think it's essential for everyone? Why, or why not?","Based on your personal experiences interacting with insurance agents or companies regarding medical insurance, please share the specific aspects of their service that you found satisfactory or unsatisfactory. This could include interactions related to claim processing, providing information on medical insurance policy, customer support, or any other relevant interactions."
"2024/05/09 11:31:48 AM GMT+8","Female","Malay","56 +","Selangor","Housewife","Yes","No","Both","Facebook","Through insurance agents","Price;Customer Reviews;Ease of claim process","Affordability;Coverage adequacy","No","Yes","I think medical insurance is very important to everyone and should get one asap","my insurance agent has been helpful if i ask him any questions. but i find the claims process is very slow and delayed in some cases. very frustrating handling the customer support"
"2024/05/09 11:35:55 AM GMT+8","Male","Malay","18 - 25","Selangor","Information Technology (IT)","Maybe","Yes","Both","X (formally known as Twitter)","Directly from insurance company's website","Price;Coverage;Customer Reviews","Affordability;Coverage adequacy","Not sure","Yes","yes medical card is essential to everyone. the cost of medical is rising and better to get one before it is too late","my experience with insurance agents is mostly ok. My insurance agent do give some advise if i ask him about medical card. But in certain cases the claims processing is frustrating due to delays from the company side"
"2024/05/09 11:43:17 AM GMT+8","Female","Malay","26 - 35","Wilayah Persekutuan Kuala Lumpur","Healthcare/Medical","No","No","Medical Card","Instagram","Through insurance agents","Price;Coverage;Customer Reviews","Affordability;Coverage adequacy","No","Yes","i wont say medical insurance is essential but it is good to have. Because the insurance premium always increase which is not affordable","i have not made any claims so far but when i handle insurance agents for my family, i get confused with their terms and conditions sometimes."
"2024/05/10 10:31:38 PM GMT+8","Male","Malay","56 +","Selangor","Marketing/Advertising","Yes","Yes","Both","Facebook","Directly from insurance company's website","Price;Coverage;Policy terms and conditions","Coverage adequacy;Additional benefits and services","Yes","Yes","Having a medical card is essential for everyone because insurance provides peace of mind when we have a medical problem.","The part where i am satisfied is when my insurance agent always follow up with my condition if im in hospital. The customer service of the insurance company that handles claims is the part im not satisfied. "
"2024/05/10 10:35:44 PM GMT+8","Male","Malay","36 - 45","Wilayah Persekutuan Kuala Lumpur","Engineering","No","Maybe","Medical Card","Facebook","Employer-provided","Price;Coverage;Customer Reviews","Affordability;Coverage adequacy","Not sure","No","Everybody should get a medical card because the insurance company takes care of our hospital bills when we are sick.","I have my company medical card and the mobile application that handles the claims and customer support is ok. "
"2024/05/10 10:42:07 PM GMT+8","Male","Malay","46 - 55","Selangor","Engineering","No","No","None","Facebook","Employer-provided","Price;Customer Reviews;Ease of claim process","Affordability;Coverage adequacy","Not sure","No","I think its not really essential to get medical insurance because the price always increase to a point we cannot afford alrd. Gov hospital service is still good for me.","tbh i dont like insurance agents as they always try hard to sell insurance to me. i try to avoid them as much as i can hahaha"
"2024/05/10 10:46:51 PM GMT+8","Male","Indian","18 - 25","Selangor","Information Technology (IT)","No","Maybe","Both","Facebook","Through insurance agents","Price;Coverage;Policy terms and conditions","Affordability;Coverage adequacy","Not sure","Yes","very important to get a medical card. gov hospitals are too crowded and take long time for treatment","i have never claimed before but my agent always provide advise to change policy if there is better product. never handled the customer support."
"2024/05/10 10:51:38 PM GMT+8","Female","Malay","36 - 45","Kedah","Finance/Banking","No","Yes","Both","Instagram","Directly from insurance company's website","Price;Customer Reviews;Ease of claim process","Affordability;Additional benefits and services","Not sure","Yes","i am an insurance agent so i think it is very important. i have seen way too many cases of people having money issues when they admit in hospital. ","as a insurance agent i will help my clients for their claims. the delay with the claims processing is the hard part i need to convince my customers."
"2024/05/10 10:57:22 PM GMT+8","Male","Indian","18 - 25","Johor","Retail","No","No","Medical Card","Instagram","Through insurance agents","Price;Customer Reviews;Reputation of insurance company","Affordability;Additional benefits and services","Not sure","Yes","i just registered for medical card few months ago. i think its essential","The agent i spoke provide good explaination to me. I have not made any claims so far so idk"
"2024/05/10 11:07:39 PM GMT+8","Male","Malay","36 - 45","Selangor","Engineering","No","Yes","Both","Facebook","Through insurance agents","Price;Coverage;Customer Reviews","Affordability;Additional benefits and services","Not sure","Yes","yes its essential to have insurance policy. for peace of mind when we are sick","the agent for my insurance is helpful if i ask questions. never claimed before because i just bought from him."
